Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5
R74,0,0,1,14,0,0,0,0,0,14,5,0,0,0,0,1,8,2,0,2,28,0,10,0,1,0,0,0,3,1
R75,0,0,0,23,0,0,0,0,0,17,8,0,0,0,0,2,14,2,2,1,19,5,3,3,0,0,0,0,20,0
R76,0,0,0,18,0,0,0,0,0,14,6,0,0,0,0,3,9,4,1,0,21,3,4,3,1,0,0,0,10,0
R77,0,0,1,14,0,0,0,0,0,23,6,0,0,0,0,1,14,7,1,0,14,3,4,2,2,0,0,1,12,0
R78,0,0,3,9,0,0,0,0,0,25,2,0,0,0,0,2,2,4,0,1,20,1,6,1,2,0,0,1,15,0
R79,0,0,0,19,0,0,0,0,0,11,6,0,0,0,0,0,10,3,2,1,22,3,7,7,0,0,0,3,8,0
R80,0,0,0,10,0,0,0,0,0,21,3,0,0,0,0,4,12,7,1,4,20,2,8,4,3,0,0,2,20,0
R81,0,0,0,12,0,0,0,0,0,13,5,0,0,0,0,2,10,5,1,0,23,5,12,7,6,0,0,2,20,0
R82,0,0,1,10,0,0,0,0,0,9,5,0,0,0,0,5,8,5,0,1,18,4,6,5,4,0,0,3,21,0
R83,0,0,0,12,0,0,0,0,0,16,7,0,1,0,0,2,10,9,1,2,12,3,5,16,10,0,0,1,19,0
R84,0,0,1,12,0,0,0,0,0,14,6,0,1,0,0,2,20,7,0,2,6,2,6,13,18,0,0,1,15,0
R85,0,0,1,9,0,0,0,0,0,23,9,0,0,0,0,4,16,12,1,3,13,7,11,13,11,1,0,6,13,0
R86,0,0,2,10,0,0,0,0,0,21,4,0,1,0,0,1,16,11,2,6,11,4,10,29,24,1,0,1,15,0
R87,0,0,0,10,0,0,0,0,0,14,3,0,3,0,0,4,6,10,6,1,15,6,7,40,35,1,0,1,21,3
R88,0,0,1,7,0,0,0,0,0,9,6,2,4,0,0,3,16,16,5,2,13,6,9,57,41,0,0,4,30,0
R89,0,0,1,13,0,0,0,0,0,20,4,1,2,0,0,7,20,9,5,3,13,14,15,89,53,3,0,6,31,0
R90,0,0,1,8,0,0,0,0,0,14,2,0,1,1,1,5,15,21,4,4,19,7,21,119,51,0,0,6,27,0
R91,0,0,1,12,0,0,0,0,0,18,5,0,4,1,1,4,12,17,1,2,14,15,14,145,67,0,0,8,28,1
R92,0,0,0,5,0,0,0,0,0,26,4,0,7,1,0,7,17,20,3,3,21,13,16,200,86,1,0,3,32,1
R93,0,0,3,8,0,0,0,0,0,15,4,1,8,1,0,7,15,45,10,6,17,15,22,263,106,1,0,4,30,3
R94,0,0,2,12,0,0,0,0,0,19,7,1,14,5,0,12,23,48,18,3,16,21,31,344,141,2,0,6,24,2
R95,0,0,0,8,0,0,0,0,0,20,8,0,28,6,2,5,21,56,19,9,19,15,38,404,132,4,0,5,36,0
R96,0,0,0,4,0,0,0,0,1,14,5,1,30,9,0,14,22,88,30,6,26,19,51,421,167,2,0,11,41,4
R97,0,0,0,4,0,0,2,0,0,24,10,3,58,11,1,10,19,118,57,7,26,23,70,462,220,5,0,8,32,3
R98,0,0,1,8,0,0,1,1,0,12,1,1,90,17,0,20,30,142,78,6,18,22,82,528,239,13,0,4,41,8
R99,0,0,1,2,0,0,1,0,0,15,3,5,127,22,0,14,27,205,147,12,22,24,85,549,316,19,0,6,54,23
R100,0,0,0,4,0,0,5,0,2,17,6,2,187,44,1,19,37,211,161,13,20,26,109,529,357,27,0,8,41,37
R101,0,0,0,5,0,0,14,0,0,14,7,2,225,43,0,24,24,210,239,17,20,34,117,584,404,46,0,7,45,47
R102,0,0,2,5,0,0,14,0,1,10,6,4,283,76,0,17,55,217,288,27,18,23,135,495,413,77,0,13,32,83
R103,0,0,1,3,0,0,26,0,1,19,7,3,302,90,4,26,60,207,387,44,22,38,122,427,441,116,4,11,51,119
R104,0,0,1,8,0,0,35,0,0,26,3,6,356,109,0,37,68,177,438,59,15,25,164,366,483,202,2,14,44,178
R105,0,0,1,7,0,0,69,0,1,18,6,10,364,131,2,35,100,172,555,71,14,30,169,359,504,220,8,9,68,240
R106,0,0,1,4,0,0,58,0,2,23,9,7,425,156,2,35,120,135,588,118,15,30,192,313,468,321,9,12,69,278
R107,0,0,0,9,0,0,91,0,2,17,9,9,435,190,3,36,148,101,587,119,20,45,215,216,439,417,16,12,87,318
R108,0,0,2,5,0,0,115,1,2,23,12,14,467,220,0,48,206,79,560,162,15,37,183,190,424,485,19,15,107,351
R109,0,0,1,5,0,0,129,1,2,12,10,19,487,239,2,47,228,70,564,183,17,45,200,154,382,515,32,10,123,351
R110,0,0,0,6,0,0,143,1,6,28,12,25,473,272,1,42,280,51,538,236,7,36,176,99,347,544,39,12,115,354
R111,0,0,1,5,0,0,197,1,8,15,15,31,420,298,4,50,275,46,471,233,12,41,167,77,276,571,59,16,145,378
R112,0,0,2,5,0,0,199,3,4,21,25,52,408,341,6,42,315,43,376,264,14,45,150,49,221,626,80,22,169,422
R113,0,0,0,2,0,0,187,2,2,26,46,43,366,359,9,48,322,39,345,283,21,43,136,44,166,606,100,25,163,390
R114,0,0,1,5,0,0,240,6,12,19,57,63,331,384,13,39,308,35,258,303,15,47,153,30,117,540,95,21,226,404
R115,1,0,4,2,0,0,257,8,7,23,56,64,324,432,25,49,290,38,234,290,11,41,130,28,97,558,125,17,220,429
R116,0,0,2,4,0,0,267,14,18,27,88,74,285,384,35,54,287,44,166,283,9,52,120,17,64,458,108,17,221,361
R117,0,0,0,3,0,1,283,17,12,15,103,107,215,403,54,57,254,32,119,272,24,54,90,15,65,403,111,11,244,416
R118,0,1,0,3,0,0,319,19,22,27,123,110,163,390,61,69,222,25,95,264,18,85,96,5,27,299,120,26,269,327
R119,0,1,1,5,0,0,330,36,36,24,149,132,155,395,117,83,173,21,60,262,19,90,82,9,21,254,160,28,275,360
R120,1,0,2,10,0,0,365,51,37,33,181,139,125,323,140,71,145,18,34,222,17,113,67,10,22,180,133,31,264,348
R121,6,1,1,4,0,0,342,48,57,34,212,166,90,299,175,104,103,16,28,183,12,103,83,5,20,129,121,28,289,373
R122,7,0,1,4,1,0,352,58,100,37,180,120,61,245,227,145,85,22,16,182,13,138,47,6,4,88,116,46,257,293
R123,15,0,3,6,0,2,336,79,129,29,214,152,49,233,242,166,71,25,12,160,14,152,44,2,8,49,126,59,263,251
R124,22,0,1,8,0,1,359,128,142,33,248,162,27,156,295,244,52,25,5,169,16,201,38,2,0,35,139,93,250,228
R125,32,1,2,7,0,0,376,118,198,35,230,142,22,115,370,290,45,18,1,144,19,245,35,7,2,19,135,128,209,162
R126,60,4,1,3,0,1,395,196,241,51,231,148,15,90,406,383,40,31,0,144,38,259,38,6,1,10,183,152,195,130
R127,90,1,1,5,0,2,419,233,259,43,256,149,4,71,416,507,34,18,3,155,36,294,53,5,4,7,203,213,208,73
R128,145,6,0,6,0,4,405,280,208,57,251,163,8,52,426,481,29,25,2,148,42,277,42,2,3,10,182,241,152,71
R129,229,10,1,8,3,3,373,244,224,60,274,174,5,32,394,482,20,30,2,131,59,245,28,5,0,3,202,288,139,40
R130,302,8,1,7,2,3,305,286,218,73,270,172,2,19,349,408,24,28,0,138,75,232,32,2,1,1,196,285,108,18
R131,483,48,3,12,5,3,281,318,213,102,279,182,2,9,305,375,25,31,0,116,95,243,31,2,0,4,195,327,90,9
R132,660,64,3,9,3,4,201,341,258,111,283,224,0,4,293,307,18,32,0,102,95,253,35,2,2,3,173,335,74,2
R133,830,118,3,7,9,5,142,448,260,127,291,240,2,3,257,296,22,33,1,90,142,258,40,1,1,3,174,397,58,3
R134,887,173,1,10,11,5,104,405,284,125,294,207,1,3,246,287,18,29,1,71,168,311,34,5,2,4,191,396,52,1
R135,857,214,2,10,15,7,81,413,286,141,293,208,2,1,222,225,10,40,1,52,217,314,24,2,3,1,209,377,56,1
R136,736,334,3,11,35,14,53,415,260,129,262,254,5,1,221,204,20,24,2,18,226,342,44,1,2,4,164,397,42,2
R137,690,382,5,28,44,12,37,368,261,146,281,240,2,1,201,176,14,34,0,25,281,293,28,2,0,3,172,330,36,0
R138,544,390,10,29,66,23,37,345,276,123,236,224,1,4,162,122,15,35,0,9,295,282,26,1,1,4,195,333,28,0
R139,400,405,8,45,105,18,18,295,244,125,259,262,1,1,131,94,19,39,1,6,317,272,27,3,1,3,146,264,24,0
R140,303,432,30,57,102,42,9,273,203,136,228,236,0,1,118,82,15,40,1,4,321,250,24,3,1,4,134,224,29,1
R141,216,419,40,65,162,64,5,208,210,118,198,211,1,1,80,70,17,35,2,10,365,195,43,1,0,6,131,208,19,0
R142,174,364,44,101,184,77,4,205,177,100,150,217,2,0,61,49,14,29,2,3,279,129,19,3,0,4,90,144,32,0
R143,104,318,62,108,210,100,2,164,146,97,144,154,0,0,53,41,12,42,1,6,247,95,27,2,0,4,91,99,24,0
R144,77,349,68,100,227,123,1,130,143,98,110,169,1,3,30,26,26,33,1,4,189,91,38,1,0,4,71,94,23,1
R145,61,370,110,99,252,160,0,108,113,70,73,149,0,2,31,45,18,33,1,3,122,57,36,2,0,6,74,74,27,0
R146,21,410,107,105,283,197,0,71,88,62,59,142,1,3,34,35,15,42,0,9,105,41,20,2,4,8,72,64,21,0
R147,24,378,136,109,316,229,1,50,102,50,47,126,1,1,31,35,14,49,0,2,76,30,21,4,0,6,76,65,24,1
R148,9,346,159,103,353,269,0,23,69,69,32,114,0,5,31,30,15,42,3,5,70,20,32,4,0,4,67,58,17,0
R149,4,296,193,121,360,304,0,16,72,62,13,105,2,6,23,26,12,38,0,4,52,32,34,1,3,8,70,49,19,0
R150,3,300,217,138,430,368,0,11,60,58,11,74,1,4,27,33,18,43,0,5,61,20,28,2,1,3,72,45,19,0
R151,4,221,238,153,457,430,0,7,64,67,17,54,2,3,31,26,14,30,1,3,47,37,33,4,2,5,65,44,17,1
R152,1,198,261,162,552,467,0,7,51,57,5,69,1,4,22,22,14,33,0,7,67,12,30,6,0,9,68,43,17,1
R153,1,164,344,184,585,476,0,12,48,59,2,49,3,2,23,28,14,35,1,5,50,22,32,2,1,5,61,39,16,1
R154,1,132,348,213,633,552,0,12,45,63,5,40,2,4,22,23,17,41,0,1,47,23,39,1,3,2,57,51,19,0
R155,0,127,424,269,572,499,1,12,52,44,2,37,2,5,21,25,16,36,1,2,45,19,40,1,3,0,64,45,16,2
R156,0,94,542,294,531,424,0,15,42,46,4,25,1,7,23,24,19,32,1,3,55,16,30,6,3,4,56,40,8,0
R157,0,73,517,304,446,312,0,29,54,58,4,35,4,13,23,25,14,46,1,4,53,11,33,3,3,0,52,38,25,1
R158,0,49,599,331,351,193,0,23,47,54,7,23,3,7,18,20,15,34,0,3,65,18,25,4,2,5,53,40,25,0
R159,0,26,475,332,214,147,0,21,46,56,0,30,3,15,33,19,16,30,0,7,59,20,38,1,2,3,61,39,26,0
R160,0,38,428,343,156,87,0,31,63,69,4,32,1,16,17,27,9,48,0,4,62,17,32,1,4,3,48,45,32,0
R161,0,34,397,359,121,113,0,29,48,50,4,24,2,14,26,24,14,32,1,5,60,13,42,0,4,2,48,39,26,1
R162,0,25,322,364,92,82,0,36,36,41,3,29,7,21,15,21,14,23,2,3,45,21,29,1,0,1,34,41,32,0
R163,0,19,268,301,49,93,1,49,42,50,5,25,3,28,18,16,15,33,1,2,56,19,21,2,6,2,42,44,14,1
R164,0,20,178,256,30,75,0,36,27,46,4,24,8,21,13,20,10,39,2,6,42,23,34,4,4,2,29,34,25,0
R165,0,17,118,209,24,71,0,46,44,34,3,29,9,23,38,18,9,30,0,6,52,21,31,0,2,0,47,38,24,1
R166,0,28,86,146,6,70,0,39,28,41,1,36,8,32,24,16,12,26,1,3,34,17,32,0,5,1,29,34,24,0
R167,0,12,56,79,1,76,0,62,44,42,7,32,5,26,22,15,15,26,1,7,46,14,31,4,1,0,38,31,27,1
R168,0,18,36,34,2,82,0,58,35,37,2,24,13,26,16,25,15,27,3,3,41,18,37,0,2,1,33,28,24,0
R169,0,16,33,22,0,52,0,60,39,32,3,25,13,22,24,19,18,21,2,5,36,14,30,1,3,0,46,35,30,1
R170,0,14,28,7,0,78,0,46,27,45,2,27,10,27,18,18,19,27,5,3,29,21,31,2,3,0,24,32,14,0
R171,0,19,19,4,0,48,0,58,25,39,4,29,12,40,18,14,12,27,6,2,36,26,27,3,6,0,26,34,43,1
R172,0,18,15,3,0,52,0,59,30,25,5,27,8,37,18,13,17,28,3,3,35,20,32,4,4,0,28,25,23,0
R173,0,11,16,3,0,63,0,50,23,36,6,33,12,24,23,24,18,29,3,2,29,14,23,3,6,0,31,41,38,1
R174,0,16,26,2,0,53,0,31,27,31,2,23,8,30,25,20,16,28,3,5,26,21,37,5,6,0,32,29,18,0
R175,0,14,17,3,0,44,0,40,31,38,3,32,12,26,18,25,19,30,4,3,17,23,38,2,8,0,40,25,28,0
R176,0,13,19,2,0,56,1,38,29,34,4,26,12,26,24,25,18,32,8,8,16,15,36,3,9,0,35,26,26,0
R177,0,18,24,1,0,48,0,41,22,26,5,23,14,23,18,24,15,28,9,4,25,22,37,5,5,0,36,21,29,0
R178,0,16,22,0,0,45,0,29,26,21,4,33,10,24,16,19,14,37,5,2,13,18,30,2,5,0,35,27,30,0
R179,0,11,29,2,0,52,0,32,24,29,8,18,10,17,22,22,15,31,11,3,29,11,39,2,4,0,38,28,30,0
R180,0,21,20,1,0,36,0,31,22,28,1,16,17,14,15,15,20,28,10,4,17,19,33,3,6,0,29,21,32,1
R181,0,9,23,1,0,40,1,18,21,38,3,25,11,12,19,22,21,33,12,4,14,14,29,4,3,0,41,30,24,0
R182,0,17,20,1,0,57,0,25,24,19,5,15,12,13,12,12,20,38,11,6,19,18,33,2,5,0,29,20,23,0
R183,0,16,16,2,0,39,0,20,18,31,0,19,11,19,17,17,11,27,12,4,21,18,35,2,6,0,33,26,24,1
R184,0,13,22,1,0,53,0,25,30,24,7,27,14,19,18,26,20,32,9,5,21,12,27,5,6,0,29,23,25,0
R185,0,12,15,0,0,41,1,21,16,27,1,23,10,11,21,11,21,33,7,5,17,15,52,5,6,0,35,26,36,1
R186,0,16,19,0,0,42,0,20,27,17,3,17,11,9,14,15,22,38,4,7,17,13,36,4,7,0,21,14,26,1
R187,0,12,23,1,0,42,0,20,33,33,3,21,7,8,9,14,22,35,7,9,18,25,34,2,5,0,26,25,24,0
R188,0,16,19,0,0,31,0,17,28,26,1,15,14,9,21,17,25,33,10,3,20,22,30,5,9,0,18,23,24,0
R189,0,12,23,1,0,45,0,12,25,16,6,19,13,12,22,18,25,41,8,10,21,15,41,3,9,0,32,17,18,0
R190,0,16,22,1,0,36,0,18,21,20,4,21,9,6,15,12,37,28,10,4,15,16,37,3,8,0,34,17,28,1
R191,0,9,25,0,0,34,0,11,25,17,2,14,11,6,23,9,35,31,9,7,19,22,41,0,10,0,28,11,28,2
R192,0,14,13,1,0,25,0,9,22,24,4,19,7,10,18,9,32,42,10,9,18,12,30,3,10,0,23,24,22,0
R193,0,6,22,0,0,34,0,14,22,19,1,11,7,11,19,17,32,41,11,12,21,11,38,0,4,0,24,19,17,0
R194,0,16,32,1,0,27,0,7,31,10,2,11,5,6,10,10,42,38,7,11,17,23,34,1,8,0,29,15,13,2
R195,0,15,29,0,0,31,0,9,39,19,2,18,5,12,15,15,27,38,7,6,25,21,46,0,6,0,29,8,16,1
R196,0,7,14,0,0,29,0,6,33,17,3,12,4,7,17,10,45,41,8,16,21,15,43,1,11,0,25,8,23,0
R197,0,8,22,1,0,34,0,8,21,26,5,11,9,7,18,15,38,41,8,22,18,15,37,2,9,0,23,17,12,0
R198,0,11,16,0,0,18,0,8,30,29,2,13,9,9,15,8,32,36,3,19,18,13,47,2,11,0,36,11,25,0
R199,0,15,18,1,0,20,2,9,13,13,6,14,7,9,7,6,39,32,5,21,11,8,42,4,11,0,17,15,16,0
R200,0,6,22,1,0,21,0,10,29,18,3,12,8,14,17,8,37,29,10,24,13,12,43,2,9,0,24,17,21,1
R201,0,10,15,0,0,22,0,9,26,13,2,14,9,7,15,7,31,40,5,24,14,12,27,1,5,0,18,15,18,0
R202,0,5,23,0,0,21,0,10,34,18,3,10,7,10,17,7,31,47,11,24,20,9,47,2,11,0,23,11,16,0
R203,0,13,13,0,0,15,1,6,24,17,5,13,3,12,14,6,35,33,4,29,24,11,43,2,19,0,22,9,12,0
R204,0,7,16,1,0,14,0,9,26,16,3,6,10,9,19,7,24,59,7,25,9,9,50,1,14,0,30,13,15,1
R205,0,7,12,0,0,14,1,8,25,17,7,14,6,16,19,6,29,49,5,33,21,5,35,1,9,0,27,12,22,1
R206,0,4,17,0,0,17,0,10,29,13,2,6,4,19,25,9,30,46,12,42,17,5,31,0,4,0,27,14,9,1
R207,0,2,13,0,0,12,0,10,17,16,6,15,4,10,9,6,25,55,7,39,19,3,47,1,9,0,30,13,7,0
R208,0,4,13,0,0,13,0,8,19,10,5,10,3,11,9,12,23,46,6,46,19,4,43,1,8,0,40,11,16,2
R209,0,9,11,0,0,17,0,5,24,12,8,12,4,18,12,7,29,72,2,39,14,5,35,1,10,0,27,12,12,3
R210,0,5,14,0,0,8,0,6,18,13,5,6,2,15,14,8,22,61,7,39,14,3,33,2,7,0,33,14,5,3
R211,0,3,11,0,0,12,1,8,20,16,8,7,2,14,9,7,33,71,6,51,14,2,29,1,6,0,25,12,13,3
R212,0,4,9,0,0,16,0,5,15,2,7,10,4,18,14,8,36,78,8,34,20,5,34,1,7,0,19,6,6,5
R213,0,6,10,0,0,8,1,10,19,15,7,12,1,9,8,5,24,77,9,40,21,3,32,0,6,0,30,5,9,3
R214,0,2,8,0,0,9,0,8,16,13,8,14,4,12,13,9,16,59,6,33,13,0,28,0,7,0,29,7,14,4
R215,0,2,11,0,0,9,1,5,8,13,4,6,0,8,12,2,18,70,6,35,17,2,27,1,4,0,35,6,9,2
R216,0,3,13,0,0,12,0,3,12,12,3,7,3,12,14,6,20,69,3,34,18,5,34,1,2,0,43,2,5,0
R217,0,2,12,1,0,10,0,6,15,13,4,7,5,16,11,7,17,52,7,45,27,1,39,0,4,0,24,12,10,2
R218,0,3,8,0,0,7,0,11,18,12,4,4,3,8,10,2,20,75,6,38,18,1,26,0,6,0,29,5,9,0
R219,0,1,7,0,0,9,0,5,6,13,6,5,1,13,6,5,16,80,5,47,21,3,29,0,2,0,31,6,6,1
R220,0,2,7,1,0,6,0,7,9,10,9,9,5,11,14,7,17,53,0,32,17,2,29,0,2,0,19,4,12,0
R221,0,1,8,0,0,6,0,10,7,19,11,6,2,19,7,8,16,48,3,40,23,0,26,0,2,0,23,5,6,0
R222,0,1,2,0,0,4,0,8,9,16,10,9,2,12,12,13,13,57,2,38,21,1,19,1,1,0,19,7,8,1
R223,0,1,5,0,0,8,0,8,9,16,7,11,3,14,13,3,16,62,1,47,18,4,25,0,2,0,21,2,6,0
R224,0,2,9,0,0,4,0,8,10,11,13,4,0,13,15,2,14,40,1,40,20,4,16,1,0,0,15,8,7,2
R225,0,2,4,0,0,4,0,3,7,14,11,1,1,9,12,6,13,51,2,38,15,2,13,0,0,0,12,10,6,0
R226,0,2,5,0,0,6,0,4,6,13,12,8,2,9,10,4,8,50,2,47,15,1,19,0,0,0,8,6,2,1
R227,0,0,1,0,0,4,0,1,9,11,7,5,2,8,5,2,14,42,2,46,19,2,15,0,2,0,11,4,5,2
R228,0,1,7,0,0,7,0,4,6,11,9,7,0,10,13,4,19,42,3,47,16,0,16,1,1,0,10,5,7,2
R229,0,1,2,0,0,8,1,4,6,18,10,7,1,13,10,4,12,45,3,45,16,2,14,0,2,0,10,5,8,2
R230,0,1,3,0,0,6,1,1,8,20,13,5,0,13,9,5,13,46,1,39,11,5,11,0,1,0,5,5,0,2
R231,0,3,3,0,0,3,0,1,10,20,14,4,2,9,14,3,12,37,2,41,10,2,11,0,4,0,13,2,2,0
R232,0,0,2,0,0,9,0,3,6,9,7,10,1,11,9,1,11,42,4,27,16,2,5,0,1,0,9,3,6,1
R233,0,1,7,0,0,3,0,4,5,21,12,5,2,9,10,1,15,40,3,36,12,2,8,0,1,0,8,6,5,2
R234,0,1,4,0,0,6,0,3,4,11,10,7,1,10,9,0,14,32,3,29,10,0,10,1,1,0,3,8,4,2
R235,0,0,6,0,0,2,0,2,10,19,9,5,3,9,11,2,15,36,0,38,13,0,10,1,3,0,9,8,7,0
R236,0,2,2,1,0,1,1,3,9,10,8,8,2,4,8,1,14,39,2,26,9,1,9,1,0,0,3,5,8,0
R237,0,1,3,0,0,2,0,3,6,12,16,9,1,10,14,0,3,25,4,31,16,5,5,0,0,0,4,5,1,0
R238,0,0,2,0,0,0,0,4,6,10,11,5,1,8,15,4,8,37,2,30,13,1,7,0,2,0,1,3,3,1
R239,0,0,6,0,0,2,0,1,5,16,10,7,1,3,11,1,13,34,3,29,11,2,7,3,2,0,4,1,2,1
R240,0,0,6,0,0,1,0,1,4,13,12,5,1,6,10,1,11,32,1,27,13,0,7,1,0,0,3,4,0,1
R241,0,0,5,0,0,5,0,2,5,10,10,6,0,3,9,1,8,28,1,24,19,3,10,0,2,0,1,5,5,4
R242,0,0,1,0,0,5,0,2,6,16,21,3,2,4,12,2,6,38,4,21,8,1,10,1,1,0,3,5,3,0
R243,0,2,5,0,0,5,0,2,7,13,12,7,1,9,12,2,11,16,2,23,17,5,5,1,1,0,1,5,6,1
R244,0,1,4,0,0,0,0,0,3,4,10,6,0,9,13,1,9,30,0,26,18,3,11,1,1,0,0,2,3,2
R245,0,0,3,0,0,8,0,0,11,7,9,2,1,2,11,2,10,26,0,20,24,2,8,1,0,0,1,4,3,1
R246,0,3,2,0,0,3,0,0,4,15,6,4,0,1,8,1,13,31,2,10,21,3,9,1,0,0,0,0,1,1
R247,0,0,2,0,0,1,0,1,10,13,11,2,0,6,11,3,10,21,2,9,11,6,14,0,3,0,2,0,1,1
R248,0,2,5,0,0,1,0,2,8,9,13,7,1,4,12,0,8,26,1,12,16,5,13,1,2,0,1,5,3,0
R249,0,0,3,0,0,2,0,0,8,12,13,1,1,1,14,2,7,30,3,21,17,3,14,0,1,0,1,0,8,1
R250,0,2,4,0,0,6,0,1,3,27,12,5,0,1,10,1,11,24,1,16,24,2,15,1,1,0,1,3,2,3
R251,0,1,4,0,0,4,0,0,12,36,13,17,1,2,10,0,7,34,3,13,9,3,22,0,0,0,0,3,4,1
R252,0,1,4,0,0,2,0,1,12,53,29,10,1,1,12,2,6,43,1,20,19,1,20,1,0,0,1,3,2,3
R253,0,0,4,0,0,3,0,0,9,75,32,23,0,1,11,1,10,29,5,17,20,8,19,1,1,0,0,1,0,0
R254,0,3,0,0,0,2,0,0,15,83,29,33,1,1,24,1,8,45,4,22,26,9,20,1,1,0,1,2,2,3
R255,0,0,7,0,0,0,0,0,37,263,98,76,1,4,38,10,29,69,4,40,37,20,65,2,3,0,4,1,11,4
