Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R1C0,R1C1,R1C2,R1C3,R1C4,R2C0,R2C1,R2C2,R2C3,R2C4,R3C0,R3C1,R3C2,R3C3,R3C4,R4C0,R4C1,R4C2,R4C3,R4C4
B0,0,10,14,0,0,0,94,143,81,0,1,0,160,0,0,171,680,19,0,0,186,2995,556,322,0
B1,0,0,3,0,0,0,13,13,6,0,0,0,31,0,0,32,106,4,0,0,43,438,71,46,0
B2,0,0,1,0,0,0,15,19,13,0,0,0,45,0,0,44,109,8,1,0,51,508,81,47,0
B3,0,0,3,0,0,0,14,16,3,0,0,0,23,0,0,42,109,14,0,0,55,433,100,43,1
B4,0,2,6,0,0,0,15,17,7,0,1,0,21,0,0,54,102,10,1,0,77,434,93,73,0
B5,0,4,11,0,0,0,24,26,8,0,0,0,21,0,0,65,97,17,0,0,68,347,79,58,0
B6,0,1,9,0,0,0,27,10,6,0,0,0,15,0,0,48,108,12,0,0,80,301,91,74,0
B7,0,3,13,0,0,0,31,13,11,0,0,1,14,0,0,55,83,14,0,0,64,323,91,82,0
B8,0,2,14,0,0,0,30,14,5,0,0,0,11,0,0,63,57,22,0,0,108,267,91,106,0
B9,0,3,11,0,0,0,46,14,7,0,1,1,26,0,0,61,75,16,1,0,116,279,109,109,0
B10,0,3,20,0,0,0,44,10,8,0,0,1,9,1,0,56,61,24,0,1,122,269,91,93,1
B11,0,3,20,0,0,0,40,14,4,0,1,3,19,0,0,52,64,27,0,1,105,246,90,111,1
B12,0,5,16,0,0,0,57,10,9,0,0,3,11,0,0,42,75,31,0,1,126,261,106,102,2
B13,0,9,16,0,0,0,61,4,11,0,0,5,6,0,0,51,80,28,0,1,104,214,96,160,2
B14,0,5,19,0,0,0,64,6,5,0,0,2,13,0,0,59,68,34,1,1,122,210,91,152,2
B15,0,1,17,0,0,0,56,7,11,0,0,5,11,0,0,54,68,37,2,1,122,177,98,131,9
B16,0,3,20,0,0,0,84,7,11,0,0,2,8,1,0,53,58,30,1,1,122,191,98,174,4
B17,0,6,27,3,0,0,72,7,11,0,0,4,17,0,0,63,50,35,3,0,120,181,117,167,4
B18,0,9,27,0,0,0,75,7,11,0,0,5,8,0,0,45,54,29,1,0,120,161,110,154,5
B19,0,10,34,1,0,0,77,6,7,0,2,8,11,0,0,64,67,33,2,2,114,169,105,162,7
B20,0,9,34,3,0,0,76,10,5,0,1,7,10,0,0,52,49,48,0,3,115,160,142,194,8
B21,0,6,37,2,0,0,97,6,11,0,3,12,19,1,0,53,46,48,0,3,102,131,135,169,14
B22,0,9,51,0,0,0,98,14,9,0,1,13,12,0,0,65,50,49,1,1,80,124,142,216,13
B23,0,7,40,2,0,1,89,6,10,0,1,23,24,4,0,78,46,47,3,3,108,105,115,189,14
B24,0,18,59,5,0,0,99,11,13,0,3,16,13,1,0,55,39,63,1,2,95,115,135,216,16
B25,0,15,50,4,0,0,79,9,10,0,4,18,19,2,0,66,40,60,2,5,106,107,139,219,14
B26,0,19,60,1,0,0,81,8,10,0,3,23,19,0,0,56,57,56,1,3,89,114,140,194,16
B27,0,17,67,7,0,0,74,14,18,0,2,27,20,1,0,57,50,50,5,4,83,88,145,203,20
B28,0,17,64,3,0,0,87,10,14,0,3,35,18,2,0,64,54,56,3,2,98,78,126,200,30
B29,0,29,56,7,0,0,95,7,14,0,6,48,15,1,0,58,50,65,1,4,81,83,156,227,24
B30,0,24,52,5,0,1,89,13,13,0,7,50,23,1,0,61,58,72,12,5,74,78,155,208,29
B31,0,27,68,6,0,0,99,8,23,0,4,46,37,3,0,65,48,81,5,5,87,70,159,222,23
B32,0,23,78,8,0,0,93,13,20,0,8,42,27,1,0,63,59,73,3,5,78,82,154,209,21
B33,0,26,71,9,0,0,101,13,34,0,5,40,38,2,0,56,47,81,9,3,66,59,186,224,27
B34,0,28,77,9,0,0,103,7,24,0,13,58,22,0,0,57,48,82,6,2,61,69,164,200,35
B35,0,28,92,13,0,0,91,18,25,0,15,58,36,3,0,39,38,77,6,8,49,52,177,209,42
B36,0,27,77,10,0,1,96,21,25,0,12,49,42,1,0,48,38,89,7,11,40,57,173,232,33
B37,0,31,75,7,0,1,91,10,26,0,14,45,40,2,0,39,42,84,9,6,49,58,152,189,30
B38,0,22,91,14,0,1,114,21,28,0,19,67,37,2,0,47,45,81,8,6,43,61,184,212,36
B39,0,43,96,12,0,0,102,24,36,0,19,70,38,2,0,48,35,82,11,15,42,50,169,209,34
B40,0,48,92,18,0,3,124,24,35,0,19,53,50,4,0,37,45,86,6,17,45,42,155,190,24
B41,0,41,84,16,0,2,117,28,47,0,23,50,51,4,0,42,45,88,13,8,44,39,167,169,35
B42,0,36,99,11,0,1,96,29,51,0,25,59,56,6,0,29,30,87,6,8,39,36,187,192,39
B43,0,37,87,21,0,1,113,27,68,0,22,57,57,3,0,26,28,102,8,12,38,38,168,163,30
B44,0,42,96,21,0,2,134,32,63,0,35,47,51,11,0,37,43,98,11,9,36,50,154,153,43
B45,0,37,110,14,0,3,113,34,65,0,33,63,59,8,0,25,40,92,14,18,29,42,174,151,37
B46,0,40,97,20,0,2,135,41,83,0,39,61,51,9,0,30,46,91,15,14,21,34,178,150,39
B47,0,43,106,28,0,3,111,33,73,0,34,66,61,11,0,29,37,86,18,12,24,43,158,161,39
B48,0,33,112,26,0,2,125,47,75,0,31,72,64,7,0,23,44,75,17,11,21,31,191,152,25
B49,0,47,109,19,0,3,126,62,99,0,36,68,67,10,0,29,44,80,20,10,28,42,187,146,29
B50,0,37,116,27,0,3,129,44,98,0,36,73,59,10,0,21,41,78,18,14,28,40,157,164,36
B51,0,38,107,30,0,5,141,51,112,0,38,64,65,8,0,36,52,69,11,22,33,41,158,144,36
B52,0,29,134,30,0,6,121,71,103,0,37,68,72,13,0,30,37,82,16,12,30,34,179,131,31
B53,0,40,110,30,0,3,157,59,117,0,30,78,80,16,0,30,46,63,12,15,15,20,195,137,30
B54,0,44,103,31,0,4,159,64,130,0,34,96,81,14,0,27,39,69,28,16,20,29,150,143,18
B55,0,38,115,39,0,6,157,79,149,0,39,79,86,17,0,22,48,65,25,16,24,34,179,133,25
B56,0,48,108,32,0,3,140,66,151,0,56,77,96,16,0,13,54,76,24,28,21,30,197,124,35
B57,0,55,118,49,0,5,172,79,160,0,49,71,85,17,0,17,39,74,29,15,25,22,169,110,29
B58,0,38,104,49,0,6,151,92,148,0,45,93,112,20,0,24,61,76,29,16,21,24,174,100,18
B59,0,50,123,47,0,4,153,114,184,0,49,90,108,32,0,20,70,85,20,18,21,24,156,87,22
B60,0,53,126,49,0,2,144,122,156,0,45,87,96,27,0,13,46,63,25,17,19,31,153,103,28
B61,0,49,113,63,0,4,145,119,161,0,31,95,146,26,0,15,53,62,34,21,15,32,163,93,23
B62,0,57,119,59,0,6,142,118,196,0,47,91,123,35,0,16,53,85,15,22,19,20,156,89,21
B63,0,41,102,80,0,6,171,129,168,0,56,85,133,25,0,8,71,65,24,18,21,31,134,109,17
B64,0,35,106,78,0,3,140,131,199,0,40,90,150,24,0,15,56,65,32,29,11,37,149,93,24
B65,0,64,107,79,0,7,154,164,181,0,50,93,145,31,0,17,47,62,34,19,16,35,138,94,20
B66,0,59,131,49,0,5,152,144,184,0,60,106,168,41,0,15,78,70,37,25,14,25,125,76,17
B67,0,58,113,67,0,4,156,166,195,0,47,99,164,50,0,12,58,58,36,24,18,30,136,80,17
B68,0,58,115,66,0,3,163,191,188,0,53,109,166,49,0,12,74,48,41,21,8,21,121,83,23
B69,0,46,120,89,0,12,170,172,211,0,54,104,195,41,0,12,60,66,45,27,13,44,109,83,16
B70,0,56,94,78,0,6,161,199,212,0,61,121,182,59,0,14,73,64,31,15,15,26,123,62,17
B71,0,50,94,90,0,5,163,208,218,0,48,85,168,45,0,10,84,55,42,15,10,30,125,86,15
B72,0,50,88,81,0,10,177,208,185,0,62,108,192,54,2,14,62,56,50,18,12,31,109,84,12
B73,0,37,90,93,0,3,177,222,188,0,60,119,177,59,1,16,70,67,46,22,13,42,129,68,16
B74,0,69,88,92,0,6,161,231,199,0,41,143,183,80,1,16,79,64,44,34,19,35,110,66,25
B75,0,42,73,82,0,10,165,250,207,0,51,108,183,70,1,9,99,68,40,25,16,39,95,69,8
B76,0,38,85,105,0,9,177,263,224,0,40,125,213,89,0,4,92,48,52,31,12,42,88,62,12
B77,0,38,74,92,0,8,171,247,202,0,51,111,223,88,1,14,92,62,52,22,19,39,101,67,15
B78,0,35,94,57,0,7,155,258,177,0,68,137,238,94,7,11,104,65,37,14,12,29,105,65,18
B79,0,46,88,78,0,6,154,297,173,0,49,140,218,98,3,15,86,58,67,23,17,37,93,64,13
B80,0,33,70,66,0,9,148,306,157,0,53,147,191,107,4,14,81,53,41,36,14,40,102,70,17
B81,0,46,79,54,0,11,140,259,160,0,59,147,218,102,7,13,99,50,53,20,15,64,78,69,16
B82,0,33,81,74,0,7,120,270,163,0,46,152,236,107,6,13,106,60,75,32,12,47,82,50,12
B83,0,30,65,72,0,6,146,271,157,0,43,161,218,132,10,9,112,61,60,27,13,45,85,73,14
B84,0,29,62,74,0,7,149,266,131,0,48,157,213,138,5,5,125,62,58,19,11,45,92,76,17
B85,0,32,63,52,0,3,109,284,146,0,46,157,208,134,13,10,107,59,81,25,8,35,81,65,17
B86,0,28,72,40,0,8,132,276,127,0,29,171,197,172,7,10,119,57,64,19,14,62,65,71,16
B87,0,30,64,44,0,3,148,279,127,0,31,155,181,170,15,7,136,60,64,26,13,61,63,62,17
B88,0,26,74,57,0,8,116,254,148,0,30,180,195,173,9,12,116,61,60,30,17,43,70,70,19
B89,0,24,72,32,0,10,112,249,114,0,25,170,168,164,17,8,117,46,80,17,11,40,71,80,14
B90,0,23,62,44,0,4,98,224,132,0,33,181,170,182,22,6,142,70,71,33,15,49,61,63,11
B91,0,26,74,43,0,3,123,239,119,0,25,174,152,207,21,10,121,65,86,20,9,49,49,72,14
B92,0,28,64,45,0,4,103,245,110,1,30,196,143,174,23,9,134,53,81,22,13,57,53,46,15
B93,0,23,45,37,0,3,62,208,124,0,22,166,145,209,29,13,132,67,91,19,13,55,66,62,18
B94,0,30,56,37,0,1,82,232,121,1,27,189,136,209,39,11,139,54,94,17,11,51,55,56,12
B95,0,15,50,44,0,3,101,212,113,2,21,201,120,208,37,9,166,67,107,25,13,46,55,67,14
B96,0,26,52,36,0,7,96,193,91,0,19,199,134,238,29,9,157,66,108,27,11,52,50,52,17
B97,0,16,36,37,0,4,78,213,92,0,32,181,135,232,29,8,149,57,126,21,22,47,47,49,14
B98,0,27,51,22,0,3,75,187,104,1,24,236,115,254,40,7,142,55,106,27,13,43,51,57,20
B99,0,17,43,25,0,3,90,161,92,0,23,184,106,227,33,8,143,50,134,20,15,42,44,47,19
B100,0,19,43,27,0,3,66,179,96,2,22,168,103,250,49,8,146,68,135,22,18,50,36,39,15
B101,0,16,44,29,0,4,56,180,112,5,12,186,104,219,51,10,135,58,134,19,17,40,48,31,12
B102,0,20,25,24,0,2,67,173,92,0,20,192,119,282,42,10,125,55,146,18,11,35,39,41,15
B103,0,20,41,17,0,2,60,126,95,0,11,188,107,248,66,12,133,50,150,14,15,42,40,36,15
B104,0,18,24,18,0,3,54,144,70,3,17,167,90,256,49,11,129,46,148,22,13,40,23,53,12
B105,0,17,37,22,0,2,59,158,84,1,17,171,88,255,64,6,142,35,128,18,9,34,33,42,10
B106,0,12,18,19,0,1,72,122,83,1,14,175,106,230,45,11,145,59,164,24,8,45,29,30,11
B107,0,7,20,15,0,3,54,122,66,2,8,175,91,248,50,12,146,47,179,21,8,40,32,31,17
B108,0,11,29,21,0,0,45,116,86,3,20,158,84,255,42,6,120,39,169,16,12,26,17,47,17
B109,0,14,23,16,0,4,44,125,77,3,13,142,77,236,61,7,131,60,190,20,14,32,26,32,3
B110,0,22,19,16,0,3,46,107,74,2,21,161,86,261,55,9,115,43,174,29,10,34,18,32,17
B111,0,12,20,10,0,2,52,97,81,5,14,160,91,236,49,9,133,46,214,25,12,27,19,32,13
B112,0,18,22,17,0,3,32,92,85,0,13,180,60,242,52,12,136,56,216,21,11,25,13,24,7
B113,0,11,14,23,0,3,31,105,77,1,21,144,69,233,50,9,124,48,215,31,14,29,17,32,13
B114,0,12,16,15,0,4,38,83,79,4,11,143,69,221,53,4,118,40,246,23,14,20,9,28,16
B115,0,16,18,17,0,3,41,106,99,2,11,134,69,216,50,6,118,50,223,21,11,17,12,23,16
B116,0,12,22,13,0,1,31,107,86,4,15,150,57,199,49,4,102,51,226,22,11,20,19,21,10
B117,0,18,15,10,0,2,34,67,75,1,9,155,60,205,39,9,127,43,228,33,17,15,8,17,13
B118,0,11,14,14,0,4,37,82,77,2,5,140,68,186,42,10,122,61,252,10,10,14,11,20,8
B119,0,15,16,7,0,4,28,75,80,7,14,123,68,220,41,12,114,40,206,25,8,13,11,18,12
B120,0,11,13,12,0,3,41,69,75,1,14,132,59,204,30,11,122,47,237,36,14,17,7,18,5
B121,0,24,15,15,0,2,34,59,79,0,9,121,59,151,34,10,124,40,244,26,13,9,7,21,14
B122,0,11,16,25,0,3,35,70,84,2,13,105,59,176,30,9,109,48,267,15,10,11,10,19,8
B123,0,12,10,11,0,2,31,47,75,1,9,139,50,170,24,12,105,49,255,21,16,10,8,14,15
B124,0,14,13,8,0,0,24,38,56,1,7,130,37,167,30,6,94,53,214,19,14,7,3,20,8
B125,0,9,16,17,0,4,18,48,80,1,8,101,45,161,22,6,82,47,264,24,15,3,5,12,15
B126,0,12,13,18,0,1,21,34,67,2,16,107,52,142,34,10,103,49,270,19,15,5,4,15,13
B127,0,9,8,17,0,3,14,36,74,1,16,87,51,143,24,6,110,44,250,7,15,4,1,16,10
B128,0,13,14,12,0,1,30,34,73,1,12,98,38,134,29,13,99,48,243,24,14,2,4,15,14
B129,0,6,13,11,0,1,19,30,62,3,13,104,52,124,23,8,112,41,232,19,7,7,5,11,10
B130,0,13,15,16,0,4,15,37,58,2,9,84,41,113,29,7,89,48,260,19,11,3,1,7,11
B131,0,19,12,9,0,0,24,31,60,0,9,83,55,122,28,9,99,37,224,16,8,5,2,8,10
B132,0,18,20,15,0,8,17,25,52,0,15,70,53,124,30,3,81,45,249,14,12,4,2,10,9
B133,0,8,14,13,0,1,21,19,59,2,14,91,40,109,20,8,96,48,231,17,7,1,2,5,15
B134,0,17,12,13,0,5,12,27,61,0,19,83,45,107,35,12,70,33,240,9,9,2,1,10,16
B135,0,11,17,9,0,3,16,19,41,0,15,69,59,110,22,7,79,49,236,16,16,2,0,8,12
B136,0,8,11,10,0,1,10,13,55,1,10,83,36,82,16,8,87,52,213,16,10,0,2,5,13
B137,0,14,9,11,0,1,19,15,43,1,14,58,33,94,22,8,71,36,203,13,10,0,3,6,10
B138,0,14,8,16,0,2,13,9,51,0,15,66,36,78,25,8,69,39,181,12,13,1,2,4,7
B139,0,8,13,13,0,2,13,25,46,2,19,57,38,78,22,12,69,46,200,12,9,0,0,5,13
B140,0,16,9,18,0,0,14,13,34,0,6,75,39,71,13,12,81,47,167,19,16,1,2,4,11
B141,0,13,16,5,0,3,13,12,43,3,13,46,37,69,19,8,73,53,182,12,9,0,0,4,11
B142,0,11,8,11,0,4,10,9,33,2,12,50,44,62,24,10,59,47,145,11,9,0,0,6,7
B143,0,12,17,7,0,3,10,12,29,1,8,59,28,72,28,11,60,42,144,12,7,0,0,3,11
B144,0,7,12,11,0,1,7,15,38,1,10,42,32,65,16,11,56,56,146,9,4,0,0,2,11
B145,0,14,19,11,0,0,4,9,38,0,14,31,31,58,14,5,59,56,147,14,8,0,0,4,11
B146,0,11,11,8,0,4,13,6,27,2,16,24,31,44,24,13,50,61,108,7,12,0,0,3,8
B147,0,19,16,10,0,6,12,5,22,2,10,29,28,40,15,9,48,38,132,14,11,0,0,3,13
B148,0,10,13,21,0,3,12,7,26,0,12,30,33,47,14,10,56,57,116,11,7,0,0,3,8
B149,0,14,14,14,0,1,9,5,28,1,8,24,38,47,18,8,43,61,87,9,11,0,0,1,12
B150,0,7,19,17,0,2,4,3,29,2,8,25,34,36,15,7,42,53,94,6,14,0,2,2,17
B151,0,18,14,16,0,5,8,4,17,1,15,16,38,36,18,11,53,68,89,8,10,0,1,0,16
B152,0,8,17,18,0,1,8,5,22,0,7,17,36,44,10,13,38,66,76,9,7,0,0,1,8
B153,0,12,11,14,0,2,6,2,33,0,7,22,39,40,11,13,44,47,69,4,11,0,0,1,14
B154,0,14,13,9,0,1,6,1,21,2,19,13,27,29,16,13,38,69,57,9,13,0,0,0,10
B155,0,11,11,15,0,5,3,5,25,1,7,12,40,29,10,14,33,58,45,12,12,0,0,0,12
B156,0,9,20,17,0,0,8,0,19,2,15,12,39,27,16,9,17,72,39,8,12,0,0,2,8
B157,0,13,13,9,0,2,4,0,21,0,15,6,23,42,16,7,24,69,37,13,12,0,0,0,14
B158,0,8,15,14,0,2,6,0,16,0,11,12,36,35,17,7,35,65,37,15,12,0,0,1,17
B159,0,8,16,16,0,0,4,0,7,1,7,12,44,23,12,10,18,80,30,20,9,0,0,0,8
B160,0,11,18,16,0,2,9,1,11,0,10,9,34,21,13,12,16,68,34,18,11,0,0,0,11
B161,0,7,16,13,0,1,1,1,20,1,15,6,41,24,13,7,19,83,22,13,13,0,0,0,12
B162,0,14,12,14,0,5,4,2,11,4,11,7,35,19,15,10,17,69,30,14,9,0,0,2,13
B163,0,10,12,17,0,2,3,2,10,1,10,5,30,20,13,10,16,66,15,9,12,0,0,1,9
B164,0,9,18,10,0,4,5,1,16,0,13,10,37,19,15,16,14,62,12,11,12,0,0,0,11
B165,0,12,17,19,0,5,3,0,9,1,11,2,26,15,13,13,15,76,12,22,10,0,0,0,11
B166,0,14,9,13,0,4,4,2,14,0,14,3,38,9,13,13,11,86,14,15,6,0,0,0,8
B167,0,15,18,14,0,3,5,3,14,1,8,1,29,21,15,12,9,57,10,11,5,0,0,0,15
B168,0,15,11,5,0,2,5,1,9,0,5,4,35,14,11,7,9,78,9,15,14,0,0,0,8
B169,0,19,12,14,0,2,6,2,11,2,11,1,20,14,14,15,8,75,12,12,16,0,0,0,13
B170,0,13,12,20,0,3,2,0,12,1,16,0,24,10,16,17,10,52,5,12,9,0,0,0,11
B171,0,16,20,21,0,1,3,0,11,2,8,2,21,12,12,17,5,74,6,12,10,0,0,0,5
B172,0,18,20,17,0,1,3,0,8,1,7,0,39,3,10,17,7,73,7,10,8,0,0,0,17
B173,0,15,18,10,0,5,2,0,7,3,12,1,34,4,10,13,4,73,7,10,10,0,0,0,12
B174,0,12,15,24,0,3,7,0,17,1,8,1,23,8,9,7,4,66,3,9,15,0,0,0,13
B175,0,21,25,17,0,4,6,0,13,0,18,2,26,10,15,11,6,63,8,8,9,0,0,0,18
B176,0,16,13,17,0,2,7,0,12,1,9,0,18,17,13,20,4,74,8,9,14,0,0,0,15
B177,0,14,24,17,0,4,4,1,11,1,16,1,28,5,9,13,5,94,4,13,14,0,0,0,20
B178,0,15,16,20,0,1,4,0,3,5,8,0,29,8,11,15,3,66,3,12,17,0,0,0,9
B179,0,12,27,8,0,2,1,0,6,2,14,1,21,2,15,15,2,76,2,14,10,0,0,0,18
B180,0,8,16,16,0,3,2,0,8,1,10,1,16,14,10,14,1,89,3,11,13,0,0,0,9
B181,0,15,25,19,0,5,2,0,7,2,11,0,31,5,16,15,0,83,1,10,12,0,0,0,22
B182,0,11,32,17,0,1,4,0,7,3,10,0,18,10,14,18,0,78,2,11,16,0,0,0,14
B183,0,14,9,16,0,4,6,0,6,2,7,0,20,10,16,12,2,108,3,10,13,0,0,0,13
B184,0,13,24,21,0,2,3,0,9,2,15,0,27,11,10,23,0,88,2,8,8,0,0,0,15
B185,0,23,18,14,0,4,5,0,9,2,14,0,24,3,11,14,1,94,2,12,13,0,0,0,4
